path,sentence
common_voice_id_39599471.mp3,dia tidak sepenuhnya mempercayaiku
common_voice_id_32165882.mp3,aku juga tidak mengerti
common_voice_id_27657418.mp3,berharap kau di sini
common_voice_id_23033570.mp3,maha suci allah
common_voice_id_40088845.mp3,pada akhirnya dia memilih anak kucing yang satunya
common_voice_id_28537487.mp3,tolong nyalakan lampu kamar
common_voice_id_36134676.mp3,kucingku tersayang sudah seminggu hilang
common_voice_id_27597691.mp3,bawalah payung untuk berjagajaga kalau hujan
common_voice_id_20425643.mp3,inilah dunia kecil
common_voice_id_32647488.mp3,ketika dia sampai stasiun keretanya telah berangkat
common_voice_id_40538729.mp3,karena sibuk saya tidak bisa makan siang
common_voice_id_34438250.mp3,kereta ini pergi ke tokyo
common_voice_id_39610466.mp3,bangunan besar itu gemerlap dengan cahaya
common_voice_id_27407521.mp3,siapa yang terbaik dia lah yang layak menjadi pemenang
common_voice_id_22185104.mp3,nol
common_voice_id_25649959.mp3,dengarkan aku
common_voice_id_27769090.mp3,rumahku sederhana tapi aku menyukainya
common_voice_id_24994697.mp3,tugas saya belom kelar
common_voice_id_27389019.mp3,ada seekor kucing
common_voice_id_40699655.mp3,apakah anda memiliki asuransi jiwa
common_voice_id_39780834.mp3,itulah yang dibicarakan oleh tom
common_voice_id_28269334.mp3,saya makan separuh roti
common_voice_id_40699595.mp3,tom pergi melewati sungai yang dangkal dengan berjalan kaki
common_voice_id_31406618.mp3,sebelah matanya buta
common_voice_id_30820988.mp3,tadi pagi saya ketemu bapakmu
common_voice_id_40699918.mp3,bagaimana bisa aku tidak menyadari hal ini
common_voice_id_36506509.mp3,tom merasa seperti sedang tidak belajar
common_voice_id_19424182.mp3,itu tadi menarik ya
common_voice_id_28301762.mp3,saya belajar bahasa jepang dengan mendengarkan kaset
common_voice_id_40116345.mp3,si miskin dan si penindas bertemu tuhan yang memberikan terang bagi mata keduanya
common_voice_id_36921601.mp3,apakah saya boleh pinjam gunting
common_voice_id_28657647.mp3,saya diminta untuk meneruskan pesan ini kepadamu
common_voice_id_35430385.mp3,kecepatan pesawat jauh lebih tinggi daripada helikopter
common_voice_id_31615099.mp3,tak ada yang ingin tahu negaraku
common_voice_id_37404583.mp3,dia seorang yang mudah diajari
common_voice_id_25779064.mp3,kaki saya lelah karena banyak berjalan
common_voice_id_39703948.mp3,ayahku sudah baya
common_voice_id_32775898.mp3,kapan novel barumu akan diterbitkan
common_voice_id_32183759.mp3,tom tidak pernah sekalipun meninggalkan rumah
common_voice_id_36921561.mp3,kesabaran merupakan kebajikan yang sukar ditemukan belakangan ini
common_voice_id_39591296.mp3,akurasi merupakan hal yang penting dalam aritmatika
common_voice_id_24142409.mp3,aku ingin kamu
common_voice_id_35278976.mp3,anda membutuhkannya
common_voice_id_27795914.mp3,jalan mana yang menuju gedung kota
common_voice_id_38420123.mp3,tom terus makan
common_voice_id_38746770.mp3,tom menaiki tangga secara perlahan
